# step, Sigma_I(M), SD{Sigma_I}
0 0.0015292968663809742 7.646484331904871e-05 
1 0.0020405876206803027 0.00014429133441883643 
2 0.0026412089028634376 0.0002641208902863438 
3 0.0032463385744493202 0.0004591016040041168 
4 0.003601199422362765 0.0007350917538995248 
5 0.0034988276601082653 0.0010100245457058076 
6 0.0022623332098804594 0.0009235936653933214 
7 0.0 0.0 
