# step, Sigma_I(M), SD{Sigma_I}
0 0.000965351289521529 8.360605443740572e-06 
1 0.0010804299649777823 1.3233172260198632e-05 
2 0.0012027412168485433 2.0836256627522938e-05 
3 0.0013212566118519574 3.237051993468509e-05 
4 0.0013553849134889647 4.6989517342065244e-05 
5 0.0015228472322559464 7.466372839897918e-05 
6 0.001488952453724543 0.00010324027728138005 
7 0.0013286524048093124 0.00013028508728662815 
8 0.0012388690096619933 0.00017180022068921574 
9 0.0012340079409341401 0.00024200886810583206 
10 0.0015104083390499894 0.00043601733056838345 
11 0.0015062534054594962 0.0006149253777842112 
12 0.0 0.0 
