# step, Sigma_I(M), SD{Sigma_I}
0 0.000553465154067359 2.767325770336795e-06 
1 0.0006919980265052843 4.893164971095948e-06 
2 0.0008384040425784517 8.384040425784517e-06 
3 0.0009666602184513765 1.3670639911404755e-05 
4 0.0010670424867913102 2.1340849735826203e-05 
5 0.0011592682060158578 3.278905638751107e-05 
6 0.0012367644600795443 4.951020242107071e-05 
7 0.0013139691558140217 7.438885493512894e-05 
8 0.0013864025604514985 0.00011100104121787208 
9 0.0016012740251721482 0.00018130858040746987 
10 0.0016916585304178747 0.0002744232508723649 
11 0.0009646827634849965 0.00022737790791800647 
12 0.0005781492271181849 0.00020440661951651496 
13 0.00027577557213589895 0.00013788778606794948 
14 0.0 0.0 
