# step, Sigma_I(M), SD{Sigma_I}
0 0.0012357809691783505 1.381645126191682e-05 
1 0.001329474693849438 2.1020840620596365e-05 
2 0.0014127033417751188 3.1589007042502844e-05 
3 0.001501832579671815 4.749211616009228e-05 
4 0.0015277216082340258 6.832178733413169e-05 
5 0.0016182609429108102 0.00010234780856179745 
6 0.0016395746848923464 0.00014723815323777208 
7 0.0012509686485554822 0.0001588731772398029 
8 0.0013748472270298756 0.00025101161312256307 
9 0.0011291624332629624 0.00030178135423471436 
10 0.0010516563387899835 0.0004293369024664959 
11 0.0 0.0 
