# step, Sigma_I(M), SD{Sigma_I}
0 0.001119472404690617 1.1194724046906171e-05 
1 0.001207892656132068 1.708218176192832e-05 
2 0.0013119928429352575 2.623985685870515e-05 
3 0.0014527574842900343 4.10901867424397e-05 
4 0.0015518867739642004 6.212519100735499e-05 
5 0.001653671373277974 9.362070589925026e-05 
6 0.0015601028543248308 0.00012490819490454098 
7 0.0016691055381053285 0.0001889889868360221 
8 0.0016384844712914698 0.0002657972794335883 
9 0.0007294577516844689 0.00017193484093506022 
10 0.0006295970351690944 0.00022259616649150595 
11 0.0005892530296034693 0.00029462651480173464 
12 0.0 0.0 
