# step, Sigma_I(M), SD{Sigma_I}
0 0.000792480411320492 5.603682728022243e-06 
1 0.0009221292679425546 9.221292679425546e-06 
2 0.001054087495845223 1.4907048325522078e-05 
3 0.0011399451072074652 2.2798902144149305e-05 
4 0.0012287059516780153 3.4753052420631804e-05 
5 0.0012973825496849748 5.1936868114997936e-05 
6 0.0013171419731289556 7.456848034409074e-05 
7 0.001381960134897328 0.00011064536251666914 
8 0.0015001029488616595 0.0001698532117848642 
9 0.0016150344010104978 0.0002619931757069928 
10 0.001225968964565185 0.00028896365612276413 
11 0.0014732122117783288 0.0005208591725376443 
12 0.001158463936942269 0.0005792319684711345 
13 0.0 0.0 
