# step, Sigma_I(M), SD{Sigma_I}
0 0.007639947459131886 0.00017083441863145694 
1 0.007953487738644505 0.0002515113659633864 
2 0.0076328618601442955 0.00034135195964296274 
3 0.007873618380698017 0.0004979713501994493 
4 0.00796480310954528 0.000715260434036838 
5 0.007574703219426691 0.0009619882708559416 
6 0.008397128579388445 0.0015330989137341204 
7 0.01056612325722949 0.002823915223926904 
8 0.005564366648827664 0.002271643171898028 
