2.631205834223087906e-05 2.394245530993973676e-05
2.571415799951351882e-05 2.580957078546122340e-05
2.584276521277470369e-05 2.444113911036142247e-05
2.753475909809913828e-05 2.279065664166702904e-05
2.839602227748255290e-05 2.508295597116739814e-05
2.646693808341650896e-05 2.234810128990445614e-05
2.832113356386964246e-05 2.337505096348897532e-05
2.856839968691936602e-05 2.533275395092172852e-05
2.743516878780274910e-05 2.550423518718903781e-05
2.607271978856881274e-05 2.722860255851671109e-05
2.666559449463043376e-05 2.752554193944544946e-05
2.815538874207597532e-05 2.649362233946223324e-05
2.631852657121037971e-05 2.550170197226226182e-05
2.864059243310619404e-05 2.708908570571053834e-05
2.739448719596727718e-05 2.529232355949181919e-05
2.637876436816779055e-05 2.335980561568816777e-05
2.477680668207478114e-05 2.452165748416272660e-05
2.513785327434189641e-05 2.601118560957777544e-05
2.649525718905935907e-05 2.243861203011984627e-05
2.614047578597825995e-05 2.588138182422482054e-05
